info @storybook/react v6.3.2
info 
info => Cleaning outputDir: C:\Users\migue\AppData\Local\Temp\chromatic--10544-IHl4mRFAek7k
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Loading 9 other files in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Adding stories defined in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook\main.js"
info => Loading Webpack configuration from `node_modules\react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\globals.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\storybook-init-framework-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\storybook-addon-outline\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\preview.js-generated-config-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 69% building 1143/1151 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\decode_codepoint.js
<s> [webpack.Progress] 69% building 1144/1151 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\decode_codepoint.js
<s> [webpack.Progress] 69% building 1145/1151 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\decode_codepoint.js
<s> [webpack.Progress] 69% building 1145/1152 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\find.js
<s> [webpack.Progress] 69% building 1145/1153 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\normalize.js
<s> [webpack.Progress] 69% building 1145/1154 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1146/1154 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1147/1154 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1148/1154 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1149/1154 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1150/1154 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1151/1154 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1151/1155 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\string.prototype.matchall\implementation.js
<s> [webpack.Progress] 69% building 1151/1156 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\string.prototype.matchall\regexp-matchall.js
<s> [webpack.Progress] 69% building 1151/1157 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1152/1157 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1153/1157 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\index.js
<s> [webpack.Progress] 69% building 1153/1158 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\ArraySpeciesCreate.js
<s> [webpack.Progress] 69% building 1153/1159 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\Get.js
<s> [webpack.Progress] 69% building 1153/1160 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\FlattenIntoArray.js
<s> [webpack.Progress] 69% building 1153/1161 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\helpers\getSymbolDescription.js
<s> [webpack.Progress] 69% building 1154/1161 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\helpers\getSymbolDescription.js
<s> [webpack.Progress] 69% building 1154/1162 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.allsettled\implementation.js
<s> [webpack.Progress] 69% building 1154/1163 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\ToBoolean.js
<s> [webpack.Progress] 69% building 1154/1164 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\CreateDataPropertyOrThrow.js
<s> [webpack.Progress] 69% building 1154/1165 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\AddEntriesFromIterable.js
<s> [webpack.Progress] 69% building 1154/1166 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\ToPropertyKey.js
<s> [webpack.Progress] 69% building 1154/1167 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\maps\decode.json
<s> [webpack.Progress] 69% building 1155/1167 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\maps\decode.json
<s> [webpack.Progress] 69% building 1156/1167 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\maps\decode.json
<s> [webpack.Progress] 69% building 1157/1167 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\entities\lib\maps\decode.json
<s> [webpack.Progress] 69% building 1157/1168 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\aria.js
<s> [webpack.Progress] 69% building 1157/1169 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\xlink.js
<s> [webpack.Progress] 69% building 1157/1170 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\xml.js
<s> [webpack.Progress] 69% building 1157/1171 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\html.js
<s> [webpack.Progress] 69% building 1157/1172 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\xmlns.js
<s> [webpack.Progress] 69% building 1157/1173 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1158/1173 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1159/1173 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1160/1173 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1161/1173 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1162/1173 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1163/1173 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1164/1173 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1165/1173 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1166/1173 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1167/1173 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\merge.js
<s> [webpack.Progress] 69% building 1167/1174 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1168/1174 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1169/1174 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1170/1174 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1171/1174 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1172/1174 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1173/1174 modules 1 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\helpers\isPrimitive.js
<s> [webpack.Progress] 69% building 1173/1175 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\2018\IsConstructor.js
<s> [webpack.Progress] 69% building 1173/1176 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\acorn\dist\acorn.mjs
<s> [webpack.Progress] 69% building 1173/1177 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\acorn-walk\dist\walk.mjs
<s> [webpack.Progress] 69% building 1173/1178 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\5\Type.js
<s> [webpack.Progress] 69% building 1174/1178 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\5\Type.js
<s> [webpack.Progress] 69% building 1174/1179 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\defined-info.js
<s> [webpack.Progress] 69% building 1174/1180 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\info.js
<s> [webpack.Progress] 69% building 1174/1181 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1175/1181 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1175/1182 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\Call.js
<s> [webpack.Progress] 69% building 1176/1182 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\Call.js
<s> [webpack.Progress] 69% building 1176/1183 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1177/1183 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1178/1183 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1179/1183 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1180/1183 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-symbol\node_modules\has-symbols\shams.js
<s> [webpack.Progress] 69% building 1180/1184 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IsConstructor.js
<s> [webpack.Progress] 69% building 1180/1185 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\HasProperty.js
<s> [webpack.Progress] 69% building 1180/1186 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IsInteger.js
<s> [webpack.Progress] 69% building 1180/1187 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\LengthOfArrayLike.js
<s> [webpack.Progress] 69% building 1180/1188 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\GetIntrinsic.js
<s> [webpack.Progress] 69% building 1181/1188 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\GetIntrinsic.js
<s> [webpack.Progress] 69% building 1181/1189 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\string.prototype.matchall\helpers\RegExpStringIterator.js
<s> [webpack.Progress] 69% building 1181/1190 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\PromiseResolve.js
<s> [webpack.Progress] 69% building 1181/1191 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\GetIterator.js
<s> [webpack.Progress] 69% building 1181/1192 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IteratorStep.js
<s> [webpack.Progress] 69% building 1181/1193 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IteratorClose.js
<s> [webpack.Progress] 69% building 1181/1194 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IteratorValue.js
<s> [webpack.Progress] 69% building 1181/1195 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\acorn-jsx\index.js
<s> [webpack.Progress] 69% building 1181/1196 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\space-separated-tokens\index.js
<s> [webpack.Progress] 69% building 1181/1197 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\hast-util-parse-selector\index.js
<s> [webpack.Progress] 69% building 1181/1198 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\comma-separated-tokens\index.js
<s> [webpack.Progress] 69% building 1182/1198 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\comma-separated-tokens\index.js
<s> [webpack.Progress] 69% building 1183/1198 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\comma-separated-tokens\index.js
<s> [webpack.Progress] 69% building 1183/1199 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-date-object\index.js
<s> [webpack.Progress] 69% building 1183/1200 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\types.js
<s> [webpack.Progress] 69% building 1183/1201 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\create.js
<s> [webpack.Progress] 69% building 1183/1202 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\case-insensitive-transform.js
<s> [webpack.Progress] 69% building 1183/1203 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1184/1203 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1185/1203 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1186/1203 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1187/1203 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1188/1203 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1189/1203 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1190/1203 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1191/1203 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1192/1203 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\schema.js
<s> [webpack.Progress] 69% building 1192/1204 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\GetMethod.js
<s> [webpack.Progress] 69% building 1193/1204 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\GetMethod.js
<s> [webpack.Progress] 69% building 1194/1204 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\GetMethod.js
<s> [webpack.Progress] 69% building 1195/1204 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\GetMethod.js
<s> [webpack.Progress] 69% building 1195/1205 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\GetMethod.js
<s> [webpack.Progress] 69% building 1195/1206 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\Get.js
<s> [webpack.Progress] 69% building 1195/1207 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\Call.js
<s> [webpack.Progress] 69% building 1195/1208 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\IsRegExp.js
<s> [webpack.Progress] 69% building 1195/1209 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\ToString.js
<s> [webpack.Progress] 69% building 1195/1210 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\RequireObjectCoercible.js
<s> [webpack.Progress] 69% building 1195/1211 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\Set.js
<s> [webpack.Progress] 69% building 1195/1212 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\SpeciesConstructor.js
<s> [webpack.Progress] 69% building 1195/1213 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\ToLength.js
<s> [webpack.Progress] 69% building 1195/1214 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\Type.js
<s> [webpack.Progress] 69% building 1196/1214 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\Type.js
<s> [webpack.Progress] 69% building 1196/1215 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1197/1215 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1198/1215 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1199/1215 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1200/1215 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1201/1215 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1202/1215 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-to-primitive\node_modules\is-symbol\index.js
<s> [webpack.Progress] 69% building 1202/1216 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\GetIntrinsic.js
<s> [webpack.Progress] 69% building 1203/1216 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\GetIntrinsic.js
<s> [webpack.Progress] 69% building 1203/1217 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\promise.prototype.finally\node_modules\es-abstract\2018\DefinePropertyOrThrow.js
<s> [webpack.Progress] 69% building 1203/1218 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1204/1218 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1205/1218 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1206/1218 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1207/1218 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1208/1218 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1209/1218 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1210/1218 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1211/1218 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1212/1218 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1213/1218 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1214/1218 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1215/1218 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1216/1218 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\is-alphabetical\index.js
<s> [webpack.Progress] 69% building 1216/1219 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\regexp.prototype.flags\index.js
<s> [webpack.Progress] 69% building 1217/1219 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\regexp.prototype.flags\index.js
<s> [webpack.Progress] 69% building 1218/1219 modules 1 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\regexp.prototype.flags\index.js
<s> [webpack.Progress] 69% building 1218/1220 modules 2 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\array.prototype.map\index.js
<s> [webpack.Progress] 69% building 1218/1221 modules 3 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\iterate-value\index.js
<s> [webpack.Progress] 69% building 1218/1222 modules 4 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\abs.js
<s> [webpack.Progress] 69% building 1218/1223 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\DefinePropertyOrThrow.js
<s> [webpack.Progress] 69% building 1218/1224 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\floor.js
<s> [webpack.Progress] 69% building 1219/1224 modules 5 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\floor.js
<s> [webpack.Progress] 69% building 1219/1225 modules 6 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\AdvanceStringIndex.js
<s> [webpack.Progress] 69% building 1219/1226 modules 7 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\AdvanceStringIndex.js
<s> [webpack.Progress] 69% building 1219/1227 modules 8 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\CreateIterResultObject.js
<s> [webpack.Progress] 69% building 1219/1228 modules 9 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\OrdinaryObjectCreate.js
<s> [webpack.Progress] 69% building 1219/1229 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\node_modules\es-abstract\2020\RegExpExec.js
<s> [webpack.Progress] 69% building 1219/1230 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IteratorComplete.js
<s> [webpack.Progress] 69% building 1219/1231 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\2020\IteratorNext.js
<s> [webpack.Progress] 69% building 1219/1232 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\acorn-jsx\xhtml.js
<s> [webpack.Progress] 69% building 1219/1233 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\helpers\getIteratorMethod.js
<s> [webpack.Progress] 69% building 1220/1233 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\helpers\getIteratorMethod.js
<s> [webpack.Progress] 69% building 1221/1233 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es-abstract\helpers\getIteratorMethod.js
<s> [webpack.Progress] 69% building 1221/1234 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\case-sensitive-transform.js
<s> [webpack.Progress] 69% building 1222/1234 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\case-sensitive-transform.js
<s> [webpack.Progress] 69% building 1223/1234 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\case-sensitive-transform.js
<s> [webpack.Progress] 69% building 1224/1234 modules 10 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\property-information\lib\util\case-sensitive-transform.js
